index,hawkish,dovish,cnt,prob_hawkish,prob_dovish,polarity_score
투자/NNG;비중/NNG;늘/VV,15,24,39,0.00020952061682869594,0.00033523298692591353,0.6249999999999999
투자/NNG;성공/NNG,10,14,24,0.00013968041121913062,0.00019555257570678288,0.7142857142857143
안정성/NNG;강화/NNG,6,19,25,8.380824673147838e-05,0.0002653927813163482,0.31578947368421056
금리/NNG;인하/NNG;압박/NNG,51,72,123,0.0007123700972175662,0.0010056989607777405,0.7083333333333333
해외/NNG;투자/NNG;확대/NNG,10,17,27,0.00013968041121913062,0.00023745669907252208,0.588235294117647
자금난/NNG;해소/NNG,38,50,88,0.0005307855626326964,0.0006984020560956532,0.76
경제/NNG;발목/NNG;잡/VV,7,13,20,9.777628785339144e-05,0.00018158453458486982,0.5384615384615384
인플레이션/NNG;하락/NNG,11,7,18,0.00015364845234104368,9.777628785339144e-05,1.5714285714285714
대출/NNG;많/VA,8,11,19,0.00011174432897530451,0.00015364845234104368,0.7272727272727274
금융시장/NNG;영향/NNG;제한적/VAX,17,8,25,0.00023745669907252208,0.00011174432897530451,2.125
예상/NNG;양호/NNG,10,19,29,0.00013968041121913062,0.0002653927813163482,0.5263157894736842
높/VA;금리/NNG;인상/NNG,21,13,34,0.0002933288635601743,0.00018158453458486982,1.6153846153846152
달러인덱스/NNG;상승/NNG,33,22,55,0.0004609453570231311,0.00030729690468208736,1.5000000000000002
우려/NNG;안전자산/NNG;선호/NNG,13,18,31,0.00018158453458486982,0.00025142474019443513,0.7222222222222222
변동성/NNG;낮/VA,11,18,29,0.00015364845234104368,0.00025142474019443513,0.611111111111111
신용/NNG;대출/NNG;금리/NNG;인하/NNG,12,8,20,0.00016761649346295676,0.00011174432897530451,1.5
비용/NNG;줄/VV,35,50,85,0.0004888814392669572,0.0006984020560956532,0.7
금리/NNG;파격/NNG;인하/NNG,4,26,30,5.5872164487652255e-05,0.00036316906916973964,0.15384615384615385
글로벌/NNG;금리/NNG;하락/NNG,11,16,27,0.00015364845234104368,0.00022348865795060902,0.6874999999999999
채권/NNG;수익률/NNG;하락/NNG,10,6,16,0.00013968041121913062,8.380824673147838e-05,1.6666666666666665
금리/NNG;상승/NNG;채권/NNG;가격/NNG;하락/NNG,38,23,61,0.0005307855626326964,0.00032126494580400047,1.652173913043478
정치/NNG;위험/NNG,14,19,33,0.00019555257570678288,0.0002653927813163482,0.7368421052631579
변동성/NNG;심하/VA,9,16,25,0.00012571237009721757,0.00022348865795060902,0.5625
인플레이션/NNG;통제/NNG,16,5,21,0.00022348865795060902,6.984020560956531e-05,3.2
국채/NNG;가격/NNG;오르/VV,5,17,22,6.984020560956531e-05,0.00023745669907252208,0.2941176470588235
경기/NNG;회복/NNG;지연/NNG,12,16,28,0.00016761649346295676,0.00022348865795060902,0.75
소비/NNG;심리/NNG;개선/NNG,15,21,36,0.00020952061682869594,0.0002933288635601743,0.7142857142857143
수지/NNG;적자/NNG,13,7,20,0.00018158453458486982,9.777628785339144e-05,1.8571428571428572
양적완화/NNG;종료/NNG;금리/NNG;인상/NNG,4,12,16,5.5872164487652255e-05,0.00016761649346295676,0.3333333333333333
가계/NNG;대출/NNG;억제/NNG,6,14,20,8.380824673147838e-05,0.00019555257570678288,0.4285714285714286
매파/NNG;통화/NNG;긴축/NNG;선호/NNG,92,47,139,0.0012850597832160019,0.000656497932729914,1.9574468085106385
지수/NNG;뛰/VV,12,9,21,0.00016761649346295676,0.00012571237009721757,1.3333333333333335
담배가격/NNG;인상/NNG,5,11,16,6.984020560956531e-05,0.00015364845234104368,0.4545454545454546
소비자/NNG;물가/NNG;경계/NNG,16,2,18,0.00022348865795060902,2.7936082243826127e-05,8.0
업황/NNG;우려/NNG,12,7,19,0.00016761649346295676,9.777628785339144e-05,1.7142857142857144
피해/NNG;심각/NNG,7,12,19,9.777628785339144e-05,0.00016761649346295676,0.5833333333333333
하락/NNG;우려/NNG,21,11,32,0.0002933288635601743,0.00015364845234104368,1.9090909090909092
gdp/NNG;성장률/NNG;마이너스/NNG,10,6,16,0.00013968041121913062,8.380824673147838e-05,1.6666666666666665
차액결제선물환/NNG;시장/NNG;달러원/NNG;상승/NNG,32,3,35,0.00044697731590121804,4.190412336573919e-05,10.666666666666666
금융시장/NNG;트리플약세/NNG,5,11,16,6.984020560956531e-05,0.00015364845234104368,0.4545454545454546
채권시장/NNG;fed/NNG;금리/NNG;인상/NNG,9,15,24,0.00012571237009721757,0.00020952061682869594,0.6
금리/NNG;인하/NNG;하락/NNG,10,20,30,0.00013968041121913062,0.00027936082243826125,0.5
인플레이션/NNG;가속/NNG,11,7,18,0.00015364845234104368,9.777628785339144e-05,1.5714285714285714
전세가격/NNG;상승/NNG,49,37,86,0.0006844340149737401,0.0005168175215107834,1.3243243243243241
자본/NNG;감소/NNG,30,22,52,0.00041904123365739187,0.00030729690468208736,1.3636363636363638
충족/NNG;최대/NNG,11,8,19,0.00015364845234104368,0.00011174432897530451,1.3749999999999998
소비/NNG;심리/NNG;위축/NNG,12,20,32,0.00016761649346295676,0.00027936082243826125,0.6000000000000001
깜짝/MAG;금리/NNG;인하/NNG,13,85,98,0.00018158453458486982,0.0011872834953626104,0.15294117647058822
자산/NNG;가격/NNG;거품/NNG,16,5,21,0.00022348865795060902,6.984020560956531e-05,3.2
가격/NNG;높/VA,22,38,60,0.00030729690468208736,0.0005307855626326964,0.5789473684210525
수출/NNG;증가/NNG,51,29,80,0.0007123700972175662,0.0004050731925354788,1.7586206896551724
자산/NNG;축소/NNG,44,33,77,0.0006145938093641747,0.0004609453570231311,1.3333333333333333
긴축/NNG;우려/NNG;하락/NNG,43,9,52,0.0006006257682422617,0.00012571237009721757,4.777777777777778
예상/NNG;증가/NNG,13,3,16,0.00018158453458486982,4.190412336573919e-05,4.333333333333333
전망/NNG;상승/NNG,32,42,74,0.00044697731590121804,0.0005866577271203486,0.761904761904762
국채/NNG;금리/NNG;하락/NNG,240,184,424,0.003352329869259135,0.0025701195664320038,1.3043478260869563
인플레이션/NNG;우려/NNG,217,138,355,0.003031064923455135,0.0019275896748240026,1.5724637681159421
경제/NNG;불확실성/NNG,32,48,80,0.00044697731590121804,0.0006704659738518271,0.6666666666666666
fed/NNG;통화/NNG;완화/NNG,6,21,27,8.380824673147838e-05,0.0002933288635601743,0.28571428571428575
경제/NNG;지표/NNG;좋/VA,8,11,19,0.00011174432897530451,0.00015364845234104368,0.7272727272727274
금리/NNG;인상/NNG;대출/NNG;규제/NNG;강화/NNG,25,7,32,0.0003492010280478266,9.777628785339144e-05,3.5714285714285716
비농업/NNG;고용/NNG;지표/NNG;호조/NNG,25,34,59,0.0003492010280478266,0.00047491339814504415,0.7352941176470589
세계/NNG;금리/NNG;인하/NNG,3,18,21,4.190412336573919e-05,0.00025142474019443513,0.16666666666666669
가계/NNG;부채/NNG;줄/VV,13,8,21,0.00018158453458486982,0.00011174432897530451,1.625
외형/NNG;성장/NNG,18,8,26,0.00025142474019443513,0.00011174432897530451,2.25
정치/NNG;불안정/NNG,6,10,16,8.380824673147838e-05,0.00013968041121913062,0.6000000000000001
fed/NNG;매파/NNG;통화/NNG;긴축/NNG;선호/NNG,69,21,90,0.0009637948374120013,0.0002933288635601743,3.2857142857142856
금리/NNG;위험/NNG,50,35,85,0.0006984020560956532,0.0004888814392669572,1.4285714285714288
매출/NNG;성장/NNG,16,9,25,0.00022348865795060902,0.00012571237009721757,1.777777777777778
불안/NNG;하락/NNG,9,14,23,0.00012571237009721757,0.00019555257570678288,0.6428571428571429
내수/NNG;부양/NNG,7,12,19,9.777628785339144e-05,0.00016761649346295676,0.5833333333333333
디플레이션/NNG;탈출/NNG,9,15,24,0.00012571237009721757,0.00020952061682869594,0.6
비용/NNG;부담/NNG;덜/VV,20,13,33,0.00027936082243826125,0.00018158453458486982,1.5384615384615383
ecb/NNG;양적완화/NNG;축소/NNG,25,8,33,0.0003492010280478266,0.00011174432897530451,3.125
수출/NNG;호조/NNG,13,23,36,0.00018158453458486982,0.00032126494580400047,0.5652173913043478
